,health,health_group
0,1,Yes
1,2,No
2,2,No
3,1,No
4,2,Yes
5,3,No
6,1,No
7,1,No
8,2,No
9,2,No
10,1,No
11,1,No
12,1,No
13,2,No
14,1,Yes
15,0,Yes
16,1,Yes
17,1,No
18,1,No
19,1,No
20,2,No
21,2,No
22,2,No
23,1,No
24,2,No
25,1,No
26,2,No
27,2,Yes
28,1,No
29,2,Yes
30,2,Yes
31,1,Yes
32,2,Yes
33,1,No
34,2,No
35,1,No
36,2,No
37,1,No
38,1,No
39,2,No
40,1,No
41,1,No
42,1,No
43,1,Yes
44,1,No
45,1,Yes
46,1,No
47,2,Yes
48,1,No
49,0,No
50,1,Yes
51,1,Yes
52,1,Yes
53,3,Yes
54,1,Yes
55,1,No
56,1,No
57,0,No
59,1,No
60,1,No
61,0,No
62,2,Yes
63,2,No
64,1,No
65,1,Yes
66,1,No
67,1,No
68,2,No
69,2,No
70,3,No
71,2,No
72,1,No
73,2,No
74,1,No
75,1,No
76,2,Yes
77,2,No
78,2,No
79,2,No
80,2,Yes
81,1,No
82,1,No
83,2,No
84,2,No
85,1,No
86,2,No
87,2,No
88,1,No
89,2,No
90,1,No
91,1,No
92,3,No
93,1,Yes
94,3,No
95,3,No
96,1,No
97,1,No
98,1,No
99,1,No
100,1,No
101,2,No
102,2,No
103,2,No
105,1,No
106,0,No
107,1,No
108,2,No
109,2,Yes
110,1,No
111,1,No
112,1,No
113,1,No
114,3,No
115,1,No
116,1,No
117,1,No
118,1,No
119,1,No
120,1,No
121,1,No
122,1,No
123,1,No
124,1,No
125,1,No
126,1,No
127,1,No
128,1,No
129,1,Yes
130,1,No
131,1,Yes
132,1,No
133,1,No
134,3,Yes
135,2,No
136,2,No
137,1,Yes
138,1,No
139,2,No
140,1,No
142,1,No
143,1,No
144,1,No
145,2,Yes
146,1,No
147,1,No
148,1,No
149,3,No
150,3,No
151,2,No
152,1,No
153,1,No
154,1,No
155,1,No
156,1,Yes
157,2,No
158,1,Yes
159,2,No
160,1,No
161,1,No
162,1,No
163,0,No
164,2,No
165,1,Yes
166,2,Yes
167,1,No
168,1,No
169,1,No
170,2,No
171,2,No
172,2,No
173,0,No
174,1,No
175,1,No
176,0,No
177,1,No
178,2,No
179,1,No
180,1,No
181,1,No
182,1,No
183,1,No
184,1,No
185,0,No
186,1,No
187,0,No
188,1,Yes
189,1,No
190,1,No
191,2,No
192,1,No
193,1,No
194,2,No
195,2,No
196,1,No
197,1,No
198,1,No
199,3,No
200,3,No
201,1,No
202,2,No
203,1,No
204,3,Yes
205,2,No
206,2,No
207,1,No
208,2,No
209,2,No
210,1,No
211,2,No
212,1,No
213,2,No
214,1,No
215,1,No
216,1,No
217,1,No
218,2,No
219,1,Yes
220,1,No
221,1,No
222,1,No
223,1,No
224,1,Yes
225,1,No
226,3,Yes
227,1,No
228,1,No
229,2,No
230,1,No
231,1,No
232,1,No
233,2,No
234,2,No
235,2,No
236,2,No
237,1,No
238,1,No
239,3,Yes
240,1,No
241,2,Yes
242,1,No
243,1,No
244,1,Yes
245,2,No
247,1,Yes
248,2,No
249,1,Yes
250,3,Yes
251,2,Yes
252,1,Yes
253,1,No
254,3,No
255,1,No
256,2,No
257,2,No
258,1,No
259,0,Yes
260,2,No
261,2,No
262,2,Yes
263,3,Yes
264,2,No
265,1,No
266,1,Yes
267,1,No
268,1,No
269,1,Yes
270,1,No
271,1,No
272,1,No
274,1,Yes
275,1,Yes
276,1,No
277,1,No
278,2,No
279,2,No
280,1,Yes
281,2,No
282,1,No
283,1,No
284,2,Yes
285,1,No
286,2,No
287,1,No
288,3,No
289,1,No
290,1,Yes
291,1,No
292,1,Yes
293,3,No
294,1,No
295,1,No
296,1,No
297,1,No
298,1,Yes
299,1,No
300,1,No
301,1,Yes
302,1,No
303,1,No
304,1,No
305,1,Yes
306,2,No
307,1,No
308,1,No
309,1,No
310,1,No
311,1,Yes
312,1,No
313,1,No
314,2,No
315,1,No
316,1,Yes
317,1,No
318,1,No
319,1,No
320,1,No
321,1,No
322,3,Yes
323,1,No
324,3,No
325,1,No
326,1,No
327,1,No
328,1,No
329,1,Yes
330,2,No
331,1,No
332,2,No
333,1,No
334,2,No
335,1,No
336,1,No
337,2,No
339,2,No
340,1,No
341,1,No
342,1,No
343,2,No
344,1,No
345,1,No
346,2,No
347,2,No
348,1,No
349,3,No
350,3,No
351,0,No
352,1,No
353,1,No
354,3,Yes
355,1,No
356,1,No
357,0,No
358,2,Yes
359,2,Yes
360,3,No
361,1,No
362,3,No
363,1,No
364,1,No
365,2,No
366,3,No
367,2,No
368,1,No
369,1,No
370,1,No
371,1,No
372,1,No
373,2,Yes
374,3,Yes
375,2,No
376,1,No
377,1,No
378,2,No
379,1,No
380,1,No
381,1,No
382,2,No
383,1,No
384,3,No
385,2,No
386,2,No
387,1,No
388,1,No
389,1,No
390,1,No
391,1,No
392,1,No
393,3,Yes
394,2,No
395,2,No
396,2,No
397,1,No
398,2,Yes
399,2,No
400,1,No
401,1,Yes
402,1,No
403,2,No
404,3,No
405,1,No
406,1,Yes
407,0,No
408,0,No
409,1,No
410,1,Yes
411,1,Yes
412,2,No
413,1,Yes
414,1,No
415,2,No
416,1,No
417,1,No
418,0,No
419,0,No
420,0,No
421,0,No
422,3,No
423,1,No
424,1,No
425,1,No
426,1,No
427,1,No
428,1,No
429,2,No
430,1,No
431,1,Yes
432,1,No
433,1,No
434,1,No
435,0,No
436,3,No
437,1,No
438,1,No
439,1,No
440,1,No
441,1,No
442,1,No
443,1,No
444,1,No
445,1,No
446,1,No
447,1,No
448,1,No
449,0,No
450,2,No
451,2,No
452,1,No
453,1,No
454,2,No
455,1,No
456,2,No
457,1,No
458,2,No
459,2,No
460,2,No
461,1,No
462,1,No
463,1,No
464,2,No
465,1,No
466,2,No
467,1,No
468,3,Yes
469,1,No
470,2,No
471,2,No
472,2,No
473,2,No
474,0,No
475,1,No
476,1,No
477,2,Yes
478,1,No
479,0,No
480,1,No
481,1,No
482,2,No
483,2,No
484,1,No
485,1,No
486,2,No
487,2,No
488,1,No
489,1,No
490,2,No
491,2,No
492,1,No
493,2,No
494,1,No
495,1,No
496,2,No
497,2,No
498,1,No
499,3,No
500,3,No
501,2,No
502,2,No
503,1,No
504,2,No
505,1,No
506,2,No
507,1,No
508,2,No
509,1,No
510,2,No
511,1,No
512,2,No
513,1,No
514,1,No
515,0,No
516,1,No
517,2,Yes
518,2,Yes
519,3,No
520,1,No
521,2,No
522,2,No
523,1,No
524,2,No
525,1,No
526,1,No
527,2,No
528,1,No
529,3,Yes
530,2,Yes
531,2,No
532,1,No
533,1,No
534,2,No
535,1,No
536,1,No
537,3,No
538,2,No
539,1,No
540,2,No
541,1,No
542,1,No
543,2,No
544,2,No
545,2,No
546,2,Yes
547,3,No
548,1,No
549,1,No
550,1,No
551,1,No
552,2,No
553,2,No
554,2,No
555,2,No
556,2,No
557,1,No
558,1,No
559,1,No
560,1,Yes
561,1,No
562,1,No
563,2,No
564,2,No
565,1,No
566,1,No
567,1,No
568,2,No
569,1,No
570,2,No
571,1,No
572,2,No
573,2,No
574,2,No
575,2,Yes
576,2,No
577,2,No
578,1,No
579,2,No
580,1,No
581,1,No
582,1,No
583,0,No
584,1,No
585,0,No
586,1,No
587,2,No
588,0,No
589,1,No
590,0,No
591,1,No
592,1,No
593,1,No
594,2,No
595,2,No
596,3,Yes
597,2,No
598,1,No
599,1,No
600,1,No
601,1,No
602,1,No
603,2,No
604,2,No
605,1,No
606,1,No
607,1,No
608,1,No
609,1,No
610,2,No
611,2,No
612,1,No
613,1,No
614,3,No
615,1,No
616,1,Yes
617,1,No
618,1,No
619,1,No
620,1,No
621,2,No
622,1,No
623,2,No
624,1,No
625,1,No
626,2,No
627,2,No
628,2,No
629,2,No
630,2,No
631,2,No
632,2,No
633,1,No
634,1,No
635,2,No
636,2,No
637,2,No
638,2,No
639,1,No
640,1,No
641,2,No
642,2,No
643,2,No
644,2,No
645,1,No
646,2,No
647,2,No
648,1,No
649,2,No
650,3,No
651,3,No
652,1,No
653,2,No
654,2,No
655,2,No
656,2,No
657,1,Yes
658,2,No
659,2,No
660,3,No
661,2,No
662,0,No
663,1,No
664,2,No
665,2,No
666,1,No
667,1,No
668,2,No
669,2,No
670,1,No
671,2,No
672,0,No
673,1,No
674,1,No
675,2,Yes
676,2,Yes
677,2,No
678,1,No
679,2,Yes
680,1,No
681,1,No
682,1,No
683,3,No
684,1,No
685,1,No
686,1,No
687,1,No
688,2,No
689,1,No
690,3,No
691,1,No
692,2,No
693,1,No
694,2,No
695,2,No
696,1,No
697,2,No
698,2,No
699,2,Yes
700,2,No
701,2,No
702,2,Yes
703,2,No
704,2,Yes
705,0,No
706,0,No
707,2,No
708,1,No
709,3,No
710,0,Yes
711,2,No
712,1,No
713,1,No
714,2,No
715,2,No
716,3,No
717,3,No
718,1,Yes
719,2,Yes
720,0,No
721,1,Yes
722,1,Yes
723,2,Yes
724,2,Yes
725,2,Yes
726,2,No
727,1,No
728,2,No
729,2,No
730,1,Yes
731,1,No
732,2,No
733,2,No
734,2,No
735,2,Yes
736,1,No
737,2,No
738,2,No
739,2,No
740,2,No
741,1,No
742,1,No
743,1,No
744,1,No
745,2,No
746,1,No
747,1,No
748,2,No
749,3,No
750,2,No
751,2,Yes
752,2,No
753,1,No
754,2,No
755,2,No
756,2,No
757,2,No
758,2,No
759,2,No
760,2,No
761,0,No
762,1,No
763,2,No
764,1,Yes
765,1,No
766,2,Yes
767,1,Yes
768,1,No
769,1,Yes
770,2,Yes
771,2,No
772,1,Yes
773,2,No
774,3,No
775,2,No
776,2,No
777,1,No
778,1,No
779,1,No
780,2,No
781,2,No
782,1,No
783,1,No
784,1,No
785,1,No
786,1,No
787,1,Yes
788,1,No
789,1,No
790,1,No
791,2,No
792,2,No
793,2,No
794,3,Yes
795,1,No
796,1,No
797,1,No
798,1,No
799,2,No
800,1,Yes
801,1,No
802,0,No
803,1,No
804,1,No
805,1,No
806,1,No
807,1,Yes
808,1,No
809,1,No
810,1,No
811,1,No
812,1,No
813,1,No
814,1,No
815,2,No
816,1,No
817,1,No
818,2,No
819,2,No
820,1,No
821,1,No
822,2,Yes
823,0,No
824,1,No
825,1,No
826,1,No
827,1,No
828,1,No
829,1,No
830,3,No
831,1,No
832,1,No
833,1,No
834,1,No
836,1,Yes
837,2,No
838,1,No
839,2,Yes
840,1,Yes
841,1,Yes
842,1,No
843,1,No
844,1,No
845,1,No
846,1,No
847,2,No
848,2,Yes
849,1,No
850,2,Yes
851,2,No
852,1,No
853,1,No
854,1,No
855,3,Yes
856,1,Yes
857,2,Yes
858,1,Yes
859,1,No
860,2,Yes
861,1,No
863,3,No
864,1,No
865,3,Yes
866,3,Yes
867,1,No
868,1,Yes
869,1,Yes
870,1,No
871,1,No
872,1,Yes
873,1,No
874,3,No
875,1,No
876,2,No
877,2,No
878,2,Yes
879,3,Yes
880,3,No
881,1,Yes
882,1,No
883,1,Yes
884,1,No
885,1,No
887,2,Yes
888,3,No
889,1,Yes
890,1,Yes
891,1,Yes
892,1,No
893,2,No
894,1,No
895,2,No
896,1,Yes
897,2,No
898,1,Yes
899,2,Yes
900,1,No
901,1,Yes
902,2,No
903,1,No
904,1,No
905,1,No
906,1,Yes
907,1,No
908,1,No
910,3,Yes
911,2,No
912,1,No
913,2,Yes
914,2,No
915,1,No
916,1,No
917,1,Yes
919,1,Yes
920,1,Yes
921,1,No
922,1,No
923,1,Yes
924,1,No
925,1,No
926,1,No
927,1,No
928,1,No
929,3,Yes
930,1,No
931,3,Yes
932,1,No
933,1,No
934,3,No
935,2,Yes
936,3,Yes
937,3,No
938,2,Yes
939,3,No
940,2,Yes
941,1,No
943,1,No
944,0,No
945,1,No
946,1,No
947,3,Yes
948,2,No
949,2,No
950,2,No
951,1,No
952,1,No
953,1,No
954,1,No
955,1,No
956,0,No
957,2,Yes
958,1,No
959,1,No
960,1,No
961,1,No
962,2,No
963,1,Yes
964,2,No
965,2,Yes
966,3,No
967,1,No
968,1,Yes
969,0,Yes
970,1,No
971,2,No
972,1,No
973,1,No
974,1,No
975,1,No
976,3,Yes
977,1,Yes
978,1,Yes
979,3,No
980,1,No
981,3,Yes
982,2,Yes
983,1,No
984,2,Yes
985,1,Yes
986,1,Yes
987,1,No
988,1,No
989,1,No
990,2,No
991,2,Yes
992,1,No
993,1,No
994,1,No
995,3,No
996,2,Yes
997,1,No
998,1,No
999,1,Yes
1000,1,Yes
1001,2,Yes
1002,2,No
1003,1,No
1004,1,Yes
1005,2,Yes
1006,1,No
1007,1,Yes
1008,2,No
1009,1,No
1010,2,Yes
1011,1,Yes
1012,1,No
1013,1,Yes
1014,2,Yes
1015,1,No
1016,1,No
1017,1,No
1018,1,Yes
1019,1,No
1020,1,No
1021,3,Yes
1022,1,No
1023,2,Yes
1024,2,Yes
1025,2,Yes
1026,1,Yes
1027,1,No
1028,1,No
1029,2,No
1030,3,Yes
1031,1,Yes
1032,3,Yes
1033,3,No
1034,2,No
1035,1,Yes
1036,1,No
1037,1,No
1038,1,Yes
1039,1,No
1040,1,Yes
1041,1,Yes
1042,1,No
1043,1,No
1044,2,Yes
1045,2,No
1046,1,No
1047,1,No
1048,1,No
1049,1,No
1050,1,No
1051,1,Yes
1052,2,Yes
1053,1,Yes
1054,1,Yes
1055,1,No
1056,1,Yes
1057,1,Yes
1058,1,No
1059,2,No
1060,1,No
1061,1,No
1062,1,No
1063,1,No
1065,2,Yes
1066,2,Yes
1068,1,Yes
1069,1,Yes
1070,2,No
1071,3,Yes
1072,1,No
1073,1,No
1074,1,No
1075,1,Yes
1076,1,No
1077,1,Yes
1078,2,No
1079,3,No
1080,1,Yes
1081,1,Yes
1082,1,No
1083,1,Yes
1084,2,Yes
1085,1,No
1086,1,Yes
1087,1,Yes
1088,2,Yes
1089,1,Yes
1090,1,No
1091,1,No
1092,1,No
1093,1,No
1094,1,Yes
1095,1,Yes
1096,3,No
1097,1,Yes
1098,1,Yes
1099,1,No
1100,2,Yes
1101,1,No
1102,1,No
1103,1,No
1104,1,No
1105,1,No
1106,1,No
1107,1,No
1108,1,No
1109,1,Yes
1110,1,No
1111,1,No
1112,2,No
1113,1,No
1114,1,No
1115,1,No
1116,2,Yes
1117,1,No
1118,2,No
1119,2,Yes
1120,2,No
1121,0,No
1122,1,No
1123,2,No
1124,2,No
1125,2,No
1126,1,No
1127,1,No
1128,1,No
1129,1,No
1130,2,No
1131,1,No
1132,1,No
1133,1,No
1134,2,No
1135,2,No
1136,1,No
1137,1,No
1138,1,No
1139,1,No
1140,1,No
1141,1,No
1143,2,No
1144,3,No
1145,1,No
1146,1,No
1147,2,No
1148,1,No
1149,2,Yes
1150,2,No
1151,1,No
1152,1,Yes
1155,1,Yes
1156,1,No
1157,1,Yes
1158,1,No
1159,1,No
1160,1,No
1161,1,No
1162,1,No
1163,1,Yes
1164,1,Yes
1165,1,Yes
1168,3,Yes
1169,1,No
1170,1,No
1171,1,No
1172,1,No
1173,1,No
1174,1,No
1175,1,No
1176,1,No
1177,1,No
1178,2,No
1179,1,Yes
1180,1,Yes
1181,1,Yes
1182,1,No
1183,1,No
1184,1,No
1186,1,No
1189,1,No
1190,1,No
1191,0,No
1192,3,No
1193,3,No
1194,3,No
1195,2,Yes
1196,1,No
1197,2,No
1198,2,Yes
1199,1,Yes
1200,1,No
1201,1,No
1202,1,No
1203,1,No
1205,1,Yes
1206,2,Yes
1207,1,No
1208,2,No
1209,1,No
1211,1,No
1212,1,No
1213,1,No
1214,1,No
1215,1,Yes
1216,1,Yes
1217,2,No
1218,2,No
1219,2,No
1220,2,No
1221,2,Yes
1222,1,Yes
1223,2,No
1224,0,No
1225,3,Yes
1226,1,Yes
1227,1,No
1228,2,Yes
1229,1,Yes
1230,1,Yes
1231,1,No
1232,1,No
1233,1,No
1234,1,No
1235,1,Yes
1236,2,Yes
1237,2,No
1238,1,No
1239,1,No
1240,1,No
1241,1,Yes
1242,1,Yes
1243,2,Yes
1244,1,Yes
1246,1,No
1247,2,No
1248,1,No
1249,2,Yes
1250,2,No
1251,1,No
1252,1,No
1253,1,No
1254,3,No
1255,2,No
1256,1,Yes
1257,2,No
1258,1,No
1259,1,Yes
1260,1,No
1261,2,Yes
1262,2,Yes
1263,3,No
1264,1,Yes
1265,0,No
1266,1,No
1268,3,No
1269,1,No
1270,1,Yes
1271,1,Yes
1272,0,No
1273,1,Yes
1274,1,Yes
1275,2,No
1276,1,Yes
1277,2,No
1278,1,No
1279,1,No
1280,1,Yes
1281,1,No
1282,1,No
1283,1,No
1284,1,Yes
1285,1,No
1286,1,No
1287,2,No
1288,1,Yes
1289,1,No
1290,1,No
1291,2,No
1292,1,No
1294,2,No
1295,2,No
1297,1,No
1298,1,No
1299,2,No
1300,1,No
1301,1,Yes
1302,1,No
1303,1,No
1304,1,Yes
1305,1,No
1306,3,Yes
1307,1,No
1308,2,No
1309,1,No
1310,1,No
1311,1,No
1312,1,No
1313,1,No
1314,1,Yes
1315,1,Yes
1316,1,No
1317,1,No
1318,2,Yes
1319,1,Yes
1320,1,No
1322,1,No
1323,3,No
1324,1,Yes
1325,2,Yes
1326,1,No
1327,1,Yes
1328,1,Yes
1329,1,Yes
1330,1,Yes
1331,2,Yes
1332,2,No
1333,0,No
1334,0,No
1335,1,Yes
1336,1,No
1337,1,No
1338,1,No
1339,1,No
1340,1,No
1341,1,Yes
1342,3,No
1343,1,No
1344,1,No
1345,3,No
1346,1,No
1347,2,Yes
1349,1,No
1350,1,No
1351,2,Yes
1352,2,Yes
1353,1,No
1354,1,No
1355,1,No
1356,1,No
1357,2,No
1358,1,No
1359,1,No
1360,1,Yes
1361,1,Yes
1362,1,No
1363,1,Yes
1364,2,No
1365,1,No
1366,1,Yes
1367,1,No
1368,2,Yes
1369,1,No
1370,1,No
1371,2,No
1372,2,No
1373,1,No
1374,1,No
1375,2,Yes
1376,2,No
1377,2,No
1378,1,No
1379,1,No
1380,1,No
1381,3,No
1382,1,Yes
1383,2,No
1384,1,No
1385,1,No
1386,2,No
1387,2,No
1388,2,No
1389,2,No
1390,2,No
1391,1,No
1392,1,No
1393,2,Yes
1394,1,No
1395,1,No
1396,2,No
1397,2,No
1399,1,No
1400,1,No
1401,2,No
1402,1,No
1403,1,No
1404,2,No
1405,1,No
1406,1,No
1407,2,No
1408,0,No
1409,1,No
1410,1,No
1411,1,No
1412,1,No
1413,1,No
1414,1,No
1416,2,No
1417,1,No
1418,1,No
1419,1,No
1420,1,No
1421,1,Yes
1422,1,No
1423,2,No
1424,2,No
1425,2,No
1426,1,Yes
1427,2,Yes
1428,0,No
1429,1,No
1430,1,No
1431,1,No
1432,1,No
1433,1,No
1434,1,No
1435,1,Yes
1436,2,No
1437,3,No
1438,1,No
1439,1,No
1440,3,No
1441,1,Yes
1442,1,No
1443,1,No
1444,1,No
1445,1,No
1446,1,No
1447,1,No
1448,2,No
1449,1,No
1450,0,No
1451,3,No
1452,1,No
1453,1,No
1454,0,Yes
1455,1,No
1456,1,No
1457,1,No
1458,0,Yes
1459,1,No
1462,2,No
1463,1,No
1464,1,Yes
1465,1,No
1466,1,No
1467,2,Yes
1468,2,No
1469,2,No
1470,1,No
1472,0,No
1473,2,No
1474,1,No
1475,1,No
1476,2,No
1477,1,No
1478,1,Yes
1479,2,Yes
1481,1,Yes
1482,1,Yes
1483,1,No
1484,1,No
1485,2,Yes
1486,3,No
1487,3,No
1488,3,No
1489,1,No
1490,1,No
1491,1,No
1492,1,No
1493,1,No
1494,1,No
1495,1,No
1496,2,No
1497,2,Yes
1498,3,No
1499,1,No
1500,2,No
1501,2,Yes
1502,1,No
1503,1,No
1504,0,No
1505,2,No
1506,1,Yes
1507,1,Yes
1508,1,No
1509,1,No
1510,2,No
1511,2,No
1512,1,No
1513,1,No
1514,1,No
1515,1,Yes
1516,1,No
1517,1,No
1518,1,No
1519,0,No
1520,3,No
1521,2,No
1522,2,No
1523,1,No
1524,1,No
1525,2,No
1526,2,No
1527,2,No
1528,2,No
1529,2,No
1530,1,No
1531,1,No
1532,1,No
1533,1,No
1534,1,No
1535,2,No
1536,3,No
1537,1,No
1538,1,No
1540,1,No
1541,1,No
1542,1,No
1543,1,No
1544,1,No
1545,1,No
1546,1,No
1547,1,No
1548,2,No
1549,2,No
1550,1,No
1551,2,No
1552,2,Yes
1553,1,No
1554,1,No
1555,1,Yes
1556,1,No
1557,1,No
1558,1,No
1559,3,No
1560,3,No
1561,1,No
1562,3,No
1563,1,No
1564,1,No
1565,1,Yes
1566,2,No
1567,2,No
1568,2,No
1569,3,No
1570,2,No
1571,2,No
1572,3,No
1573,1,No
1574,2,No
1575,1,No
1576,3,No
1577,3,Yes
1578,1,No
1579,1,No
1580,1,No
1582,1,No
1583,1,No
1584,1,No
1585,1,No
1586,2,No
1587,2,Yes
1588,1,No
1589,1,No
1590,1,No
1591,1,No
1592,1,Yes
1593,1,No
1594,1,Yes
1595,1,No
1597,1,No
1600,2,No
1601,1,No
1603,1,Yes
1604,2,Yes
1605,0,No
1606,1,No
1607,1,No
1608,1,No
1609,1,No
1610,1,No
1611,1,No
1612,1,No
1613,3,No
1614,2,No
1615,2,No
1616,2,No
1617,1,No
1618,1,No
1619,1,Yes
1620,3,Yes
1621,2,No
1622,1,No
1623,1,No
1624,2,No
1625,1,No
1626,1,No
1627,1,No
1628,1,No
1629,1,Yes
1630,2,No
1631,1,No
1632,2,No
1633,1,No
1634,1,Yes
1635,2,No
1636,2,Yes
1637,3,No
1638,3,No
1639,3,No
1640,3,No
1641,3,No
1642,2,No
1643,1,No
1644,1,No
1645,1,No
1646,1,No
1647,1,No
1648,1,No
1649,1,No
1650,1,No
1652,1,Yes
1653,1,No
1654,1,No
1655,2,No
1656,2,No
1657,1,No
1659,1,No
1660,2,No
1661,3,Yes
1662,1,No
1663,1,Yes
1664,1,No
1665,1,No
1666,3,No
1667,2,No
1668,1,No
1669,2,Yes
1670,3,No
1671,1,No
1672,1,No
1673,1,No
1674,0,No
1675,0,No
1676,0,No
1678,2,No
1679,1,No
1680,1,No
1681,1,Yes
1682,1,No
1683,1,Yes
1684,0,Yes
1685,1,No
1686,0,Yes
1687,1,No
1688,1,No
1689,1,No
1690,1,No
1691,1,No
1692,1,No
1694,1,No
1695,0,No
1696,0,Yes
1697,0,No
1698,2,No
1699,1,No
1700,1,No
1701,0,Yes
1702,1,No
1703,3,Yes
1704,3,No
1705,2,No
1706,0,No
1707,0,Yes
1708,0,No
1709,2,Yes
1710,1,No
1711,1,No
1712,1,No
1713,1,Yes
1714,1,No
1715,1,Yes
1716,1,Yes
1717,2,No
1718,2,Yes
1719,2,Yes
1720,1,No
1721,2,No
1722,2,No
1723,2,No
1724,2,No
1725,1,No
1726,1,No
1727,1,No
1728,2,No
1729,1,No
1730,2,No
1731,2,No
1732,1,Yes
1733,1,No
1734,3,Yes
1735,1,Yes
1736,1,Yes
1737,2,Yes
1738,1,Yes
1739,1,No
1740,1,Yes
1741,1,No
1742,1,No
1743,1,No
1744,1,No
1745,2,No
1747,1,Yes
1748,1,No
1749,2,Yes
1750,1,No
1751,1,No
1752,1,No
1753,2,No
1754,2,No
1755,2,No
1756,1,Yes
1757,2,Yes
1758,1,No
1759,2,Yes
1760,1,Yes
1761,2,Yes
1762,1,No
1763,1,No
1764,1,No
1765,0,No
1766,1,No
1767,1,No
1768,2,No
1769,2,Yes
1770,1,No
1771,1,No
1772,1,No
1773,1,No
1774,2,Yes
1775,2,No
1776,2,No
1777,3,No
1778,2,No
1779,2,No
1780,3,No
1781,2,No
1782,2,No
1783,1,No
1785,2,No
1786,2,No
1787,1,No
1788,2,No
1789,1,No
1790,1,No
1791,1,No
1792,0,No
1793,2,No
1794,3,No
1795,3,No
1796,1,No
1797,0,Yes
1798,1,No
1799,2,No
1800,1,No
1801,2,No
1802,1,Yes
1803,1,No
1804,2,No
1805,1,No
1806,1,Yes
1807,1,No
1808,1,No
1809,1,No
1810,2,Yes
1811,1,No
1812,2,Yes
1813,1,No
1814,1,Yes
1815,2,No
1816,2,Yes
1817,1,No
1818,1,Yes
1819,2,No
1820,1,No
1821,1,No
1822,1,No
1823,3,No
1824,2,No
1825,1,No
1826,1,No
1827,1,No
1828,1,No
1829,1,No
1830,1,No
1831,1,Yes
1832,1,No
1833,2,Yes
1834,1,No
1835,1,No
1836,1,No
1837,1,No
1838,1,No
1839,1,No
1840,1,No
1841,2,Yes
1842,1,Yes
1843,1,No
1844,1,Yes
1845,1,No
1846,3,No
1847,1,No
1848,2,No
1849,1,No
1850,1,No
1851,2,Yes
1852,1,No
1853,3,Yes
1854,1,No
1855,1,No
1856,1,Yes
1857,2,No
1858,1,No
1859,1,No
1860,1,No
